Singapore Polytechnic,,https://www.sp.edu.sg/sp/about-sp/corporate-information/board-of-governors
Janet Ang,,
Marcus H C Lam,,
Azlinda Bte Anwar,,
Freddy Boey Yin Chiang,,
Albert Chan,,
 Joseph Chua,,
 Amos Leong,,
Lian Ghim Hua,,
David Low,,
Joan Moh,,
Ng Pak Shun,,
Soh Wai Wah,,
Tan Poh Hong,,
David Tan Wei-Son,,
Martin Axel Wiktorin,,
,,
Temasek Polytechnic,,https://www.tp.edu.sg/about-tp/board-of-governors.html
Lee Kok Choy,,
Russell Tham,,
Peter Lam,,
Pey Kin Leong,,
Fang Eu-Lin,,
Farhana Mansoor Nakhooda,,
Francis Fong,,
Alex Siow,,
Goh Pei Ming,,
Tan Kai Hoe,,
How Kwang Hwee,,
Adrian Tan Soon Chye,,
Jin Yuen Yee,,
 Clarence Tang,,
Catherine Loh,,
Andrew Tjioe Ka Men,,
Patrick Low,,
Zhulkarnain Abdul Rahim,,
Albert Yeo,,
,,
Nanyang Polytechnic,,
Tan Tong Hai,,
Jessica Tan,,
Jeanne Liew,,
Tay Yong Seng,,
Lim Boon Huat,,
Daniel Ng Joo-Then,,
Jackson Tan,,
Tham Sai Choy,,
Lavinia Low,,
Eugene Fidelis Soh,,
Mohamad Farid Mohd Nor,,
Jeanette Ng,,
Amit Malhotra,,
Shee Tse Koon,,
Tan Pei-En,,
Tan Lin Teck,,
Chan Ching Hao,,
,,
Ngee Ann Polytechnic,,https://www.np.edu.sg/Pages/leadership.aspx
Tang Kin Fei,,
Willie Tan,,
Lim Kok Kiang,,
Goh Kim Hock,,
Jamie Teo,,
James Teo,,
Dhirendra Shantilal,,
David Hung,,
Gilbert Tan,,
Edward Chia,,
Mohamed Elmie Bin Nekmat,,
Aaron Beng,,
Benedict Koh,,
Chua Tiow Chye,,
Esa Han Hsien Masood,,
Jan Chua,,
Ayesha Khanna,,
Pauline Goh,,
,,
Republic Polytechnic,,https://www.rp.edu.sg/about-us/our-people/board-of-governors
Wong Cheong Fook David,,
Jayson Goh,,
Aaron Voon-Yew Thean,,
Clarence Tan,,
Colin Goh,,
Gerald Singham,,
Gilbert Tan,,
Isabella Loh,,
Jill Wong,,
Koh Chiap Khiong,,
Lim Woo Lip,,
Lucy Toh,,
Muhammad Nazri Bin Muhd,,
Oon Jin Teik,,
Sean Wat Jianwen,,
 Teoh Chin Sim,,
Theresa Sim,,
Yeo Li Pheow,,
