StarHub,,https://www.starhub.com/about-us/company-information/corporate-structure/board-of-directors.html
Steven Terrell Clontz,,
Nikhil Eapen,,
Paul Ma Kah Woh,,
Stephen Geoffrey Miller,,
Nihal Vijaya Devadas Kaviratne,,
Michelle Lee Guthrie,,
Nayantara Bali,,
Ng Shin Ein,,
Lionel Yeo Hung Tong,,
Teo Ek Tor,,
Naoki Wakai,,
Ahmad Al-Neama,,
,,
M1,,https://www.m1.com.sg/about-us/our-company/board-of-directors
Loh Chin Hua,,
Manjot Singh Mann,,
Chan Hon Chew,,
Tan Wah Yeow,,
Guy Daniel Harvey Samuel,,
Thomas Pang,,
Janice Wu,,
Chua Hwee Song,,
